user_id,pool_acceptance,pickup_flexibility,fare_sensitivity,eco_score,adaptability_score
USER_0536,0.64,0.79,0.81,0.98,73.6
USER_0537,0.81,0.7,0.35,0.29,63.9
USER_0538,0.74,0.85,0.31,0.41,64.4
USER_0539,0.04,0.01,0.86,0.08,27.7
USER_0540,0.73,0.26,0.87,0.11,63.1
USER_0541,0.72,0.55,0.4,0.22,57.3
USER_0542,0.1,0.94,0.01,0.55,32.5
USER_0543,0.15,0.68,0.19,0.56,32.1
USER_0544,0.79,0.46,0.91,0.61,72.7
USER_0545,0.56,0.13,0.9,0.58,53.3
USER_0546,0.82,0.49,0.45,0.5,61.0
USER_0547,0.18,0.44,0.3,0.8,29.4
USER_0548,0.03,0.78,0.3,0.93,33.6
USER_0549,0.16,0.41,0.9,0.27,45.7
USER_0550,0.45,0.32,0.32,0.13,37.2
USER_0551,0.52,0.09,0.51,0.43,38.8
USER_0552,0.86,0.05,0.73,0.03,57.8
USER_0553,0.72,0.44,0.21,0.88,48.3
USER_0554,0.99,0.35,0.25,0.24,57.6
USER_0555,0.08,0.56,0.36,0.55,30.8
USER_0556,0.13,0.71,0.65,0.12,46.0
USER_0557,0.08,0.04,0.82,0.55,29.0
USER_0558,0.54,0.5,0.55,0.04,53.1
USER_0559,0.27,0.86,0.13,0.77,40.5
USER_0560,0.68,0.46,0.45,0.96,54.5
USER_0561,0.13,0.52,0.13,0.31,24.7
USER_0562,0.1,0.49,0.09,0.26,21.4
USER_0563,0.46,0.39,0.59,0.45,47.8
USER_0564,0.38,0.11,0.96,0.62,47.3
USER_0565,0.83,0.13,0.84,0.19,62.3
USER_0566,0.84,0.18,0.77,0.8,62.1
USER_0567,0.12,0.79,0.73,0.2,50.4
USER_0568,0.81,0.28,0.9,0.01,67.8
USER_0569,0.56,0.95,0.75,0.52,73.4
USER_0570,0.5,0.81,0.63,0.12,63.2
USER_0571,0.09,0.68,0.36,0.7,34.8
USER_0572,0.74,0.72,0.1,0.17,54.2
USER_0573,0.06,0.05,0.46,0.82,17.7
USER_0574,0.28,0.57,0.92,0.47,55.9
USER_0575,0.1,0.94,0.58,0.57,49.6
USER_0576,0.53,0.04,0.18,0.19,27.8
USER_0577,0.65,0.29,0.65,0.15,54.2
USER_0578,0.89,0.05,0.47,0.63,51.2
USER_0579,0.73,0.57,0.93,0.26,74.2
USER_0580,0.96,0.12,0.16,0.39,46.8
USER_0581,0.76,0.48,0.71,0.48,66.1
USER_0582,0.3,0.72,0.68,0.23,54.0
USER_0583,0.55,0.16,0.98,0.8,56.2
USER_0584,0.46,0.76,0.56,0.94,58.0
USER_0585,0.57,0.06,0.87,0.43,50.7
USER_0586,0.57,0.15,0.02,0.92,27.9
USER_0587,0.7,0.28,0.12,0.88,40.0
USER_0588,0.08,0.8,0.35,0.17,37.7
USER_0589,0.75,0.85,0.62,0.17,74.1
USER_0590,0.14,0.22,0.45,0.48,25.7
USER_0591,0.03,0.1,0.2,0.53,10.2
USER_0592,0.52,0.85,0.59,0.34,64.0
USER_0593,0.58,0.65,0.57,0.31,59.8
USER_0594,0.03,0.16,0.52,0.43,21.6
USER_0595,0.52,0.56,0.09,0.69,40.3
USER_0596,0.53,0.87,0.93,0.08,75.2
USER_0597,0.05,0.07,0.59,0.71,21.8
USER_0598,0.71,0.08,0.26,0.93,38.6
USER_0599,0.21,0.27,0.69,0.76,37.2
USER_0600,0.79,0.65,0.32,0.19,60.7
USER_0601,0.31,0.18,0.51,0.09,33.1
USER_0602,0.48,0.82,0.34,0.49,54.0
USER_0603,0.89,0.75,0.88,0.96,84.5
USER_0604,0.81,0.56,0.99,0.82,78.9
USER_0605,0.78,0.12,0.16,0.56,39.6
USER_0606,0.16,0.99,0.02,0.14,36.7
USER_0607,0.05,0.49,0.22,0.71,23.3
USER_0608,0.61,0.45,0.59,0.81,55.6
USER_0609,0.41,1.0,0.17,0.94,51.5
USER_0610,0.91,0.86,0.81,0.61,86.5
USER_0611,0.35,0.46,0.41,0.51,40.1
USER_0612,0.41,0.42,0.61,0.62,47.3
USER_0613,0.53,0.1,0.46,0.94,38.0
USER_0614,0.8,0.93,0.9,0.63,86.9
USER_0615,0.27,0.84,0.04,0.26,37.2
USER_0616,0.94,0.31,0.73,0.64,68.8
USER_0617,0.54,0.75,0.65,0.88,63.6
USER_0618,0.84,0.76,0.65,0.57,75.9
USER_0619,0.53,0.23,0.41,0.5,40.4
USER_0620,0.77,0.61,0.02,0.73,49.7
USER_0621,0.05,0.26,0.69,0.66,30.5
USER_0622,0.8,0.79,0.83,0.06,80.6
USER_0623,0.52,0.15,0.09,0.73,28.0
USER_0624,0.45,0.67,0.44,0.41,51.3
USER_0625,0.11,0.33,0.16,0.94,19.1
USER_0626,0.74,0.04,0.61,0.97,49.1
USER_0627,0.13,0.12,0.79,0.45,32.5
USER_0628,0.19,0.65,0.67,0.97,47.2
USER_0629,0.13,0.24,0.32,0.31,22.0
USER_0630,0.01,0.63,0.14,0.68,23.5
USER_0631,0.66,0.41,0.79,0.08,62.4
USER_0632,0.27,0.69,0.32,0.14,41.1
USER_0633,0.15,0.49,0.02,0.86,21.3
USER_0634,0.32,0.31,0.57,0.89,39.2
USER_0635,0.5,0.15,0.25,0.53,32.0
USER_0636,0.5,0.34,0.84,0.34,55.4
USER_0637,0.37,0.63,0.14,0.45,37.9
USER_0638,0.49,0.74,0.43,0.87,54.7
USER_0639,0.43,0.16,0.25,0.21,29.5
USER_0640,0.82,0.66,0.69,0.29,73.3
USER_0641,0.03,0.18,0.55,0.79,23.1
USER_0642,0.87,0.22,0.79,0.94,65.1
USER_0643,0.24,0.53,0.46,0.09,39.3
USER_0644,0.72,0.29,0.0,0.8,37.5
USER_0645,0.41,0.66,0.22,0.65,42.8
USER_0646,0.29,0.96,1.0,0.23,70.4
USER_0647,0.62,0.15,0.41,0.76,41.6
USER_0648,0.77,0.57,0.62,0.73,66.5
USER_0649,0.45,0.92,0.9,0.14,72.6
USER_0650,0.47,0.18,0.02,0.5,24.8
USER_0651,0.06,0.37,0.66,0.76,33.3
USER_0652,0.92,0.12,0.29,0.19,49.1
USER_0653,0.85,0.64,0.28,0.46,61.6
USER_0654,0.4,0.67,0.22,0.12,42.7
USER_0655,0.76,0.66,0.82,0.31,74.8
USER_0656,0.31,0.54,0.37,0.22,39.7
USER_0657,0.73,0.75,0.07,0.51,53.8
USER_0658,0.52,0.04,0.1,0.14,25.0
USER_0659,0.46,0.96,0.15,0.38,51.7
USER_0660,0.06,0.22,0.9,0.28,36.0
USER_0661,0.97,0.12,0.43,0.75,55.3
USER_0662,0.84,0.94,0.92,0.7,89.4
USER_0663,0.79,0.83,0.82,0.09,81.1
USER_0664,0.3,0.76,0.84,0.95,60.0
USER_0665,0.29,0.1,0.29,0.74,23.3
USER_0666,0.57,0.81,0.27,0.62,55.2
USER_0667,0.85,0.61,0.56,0.48,69.1
USER_0668,0.93,0.73,0.42,0.18,71.7
USER_0669,0.27,0.98,0.51,0.96,55.5
USER_0670,0.61,0.19,0.05,0.01,31.6
USER_0671,0.72,0.5,0.97,0.69,72.9
USER_0672,0.23,0.75,0.06,0.51,33.5
USER_0673,0.41,0.43,0.18,0.9,34.7
USER_0674,0.19,0.05,0.68,0.38,29.5
USER_0675,0.7,0.11,0.16,0.52,36.1
USER_0676,0.86,0.6,0.11,0.74,55.7
USER_0677,0.88,0.29,0.15,0.05,48.4
USER_0678,0.67,0.14,0.06,0.05,32.8
USER_0679,0.35,0.34,0.25,0.21,31.7
USER_0680,0.66,0.2,0.27,0.15,40.5
USER_0681,0.86,0.02,0.5,0.01,50.0
USER_0682,0.63,0.15,0.44,0.62,42.9
USER_0683,0.41,0.88,0.47,0.8,56.9
USER_0684,0.92,0.01,0.62,0.96,55.7
USER_0685,0.84,0.77,0.23,0.44,63.6
USER_0686,0.88,0.75,0.13,0.28,61.6
USER_0687,0.9,0.56,0.88,0.86,79.2
USER_0688,0.39,0.21,0.63,0.84,40.8
USER_0689,0.86,0.88,0.06,0.62,62.6
USER_0690,0.57,0.48,0.96,0.27,66.0
USER_0691,0.04,0.17,0.69,0.91,27.4
USER_0692,0.64,0.43,0.15,0.18,43.0
USER_0693,0.47,0.19,0.97,0.04,53.6
USER_0694,0.28,0.38,0.37,0.8,33.7
USER_0695,0.97,0.5,0.98,0.56,83.2
USER_0696,0.06,0.36,0.1,0.25,16.2
USER_0697,0.95,0.66,0.16,0.67,62.6
USER_0698,0.16,0.94,0.66,0.77,54.4
USER_0699,0.38,0.35,0.02,0.84,26.3
USER_0700,0.42,0.36,0.02,0.28,28.2
USER_0701,0.73,0.74,0.79,0.03,75.1
USER_0702,0.22,0.53,0.17,0.51,29.8
USER_0703,0.99,0.43,0.92,0.86,80.1
USER_0704,0.75,0.81,0.43,0.21,67.2
USER_0705,0.79,0.89,0.87,0.42,84.4
USER_0706,0.11,0.59,0.42,0.26,34.7
USER_0707,0.48,0.19,0.53,0.01,40.8
USER_0708,0.95,0.47,0.32,0.9,61.7
USER_0709,0.27,0.5,0.66,0.14,45.6
USER_0710,0.15,0.43,0.32,0.77,28.5
USER_0711,0.49,0.26,0.22,0.35,34.0
USER_0712,0.93,0.47,0.08,0.28,53.7
USER_0713,0.49,0.45,0.06,0.94,34.9
USER_0714,0.4,0.21,0.31,0.66,31.6
USER_0715,0.65,0.9,0.74,0.69,75.2
USER_0716,0.94,0.89,0.21,0.76,70.6
USER_0717,0.05,0.76,0.3,0.34,33.8
USER_0718,0.15,0.4,0.91,0.56,45.3
USER_0719,0.13,0.37,0.64,0.27,35.5
USER_0720,0.09,0.72,0.92,0.83,52.8
USER_0721,0.3,0.61,0.91,0.6,57.6
USER_0722,0.23,0.6,0.06,0.24,29.0
USER_0723,0.55,0.12,0.96,0.9,54.4
USER_0724,0.33,0.62,0.05,0.58,33.3
USER_0725,0.41,0.9,0.93,0.5,71.3
USER_0726,0.94,0.09,0.55,0.03,56.8
USER_0727,0.16,0.34,0.53,0.91,32.5
USER_0728,0.39,0.51,0.71,0.95,52.2
USER_0729,0.26,0.69,0.88,0.56,57.5
USER_0730,0.55,0.09,0.62,0.44,43.3
USER_0731,0.74,0.87,0.43,0.36,68.6
USER_0732,0.82,0.04,0.11,0.27,37.3
USER_0733,0.52,0.86,0.79,0.57,70.3
USER_0734,0.85,0.03,0.13,0.13,38.8
USER_0735,0.79,0.15,0.73,0.92,58.0
USER_0736,0.16,0.8,0.53,0.18,46.3
USER_0737,0.25,0.86,0.39,0.75,47.5
USER_0738,0.67,0.98,0.61,0.31,74.5
USER_0739,0.97,0.12,0.77,0.23,65.5
USER_0740,0.38,0.53,0.94,0.56,59.3
USER_0741,0.23,0.08,0.26,0.77,19.4
USER_0742,0.87,0.16,0.95,0.73,68.1
USER_0743,0.2,0.17,0.96,0.23,41.9
USER_0744,0.7,0.06,0.81,0.33,54.1
USER_0745,0.03,0.89,0.88,0.87,54.3
USER_0746,0.02,0.13,0.69,0.72,25.4
USER_0747,0.45,0.63,0.04,0.71,38.1
USER_0748,0.66,0.63,0.58,0.27,62.7
USER_0749,0.14,0.2,0.75,0.79,34.1
USER_0750,0.76,1.0,0.94,0.36,88.6
USER_0751,0.13,0.35,0.57,0.4,32.8
USER_0752,0.53,0.91,0.79,0.29,72.2
USER_0753,0.31,0.95,0.71,0.12,62.2
USER_0754,0.75,0.95,0.28,0.42,66.9
USER_0755,0.8,0.75,0.15,0.02,59.0
USER_0756,0.07,0.25,0.75,0.46,32.8
USER_0757,0.19,0.12,0.23,0.73,18.1
USER_0758,0.89,0.57,0.24,0.96,59.9
USER_0759,0.42,0.36,0.64,0.08,46.8
USER_0760,0.48,0.83,0.79,0.28,67.8
USER_0761,0.17,0.74,0.58,0.49,46.4
USER_0762,0.99,0.28,0.88,0.17,74.4
USER_0763,0.92,0.02,0.21,0.12,43.7
USER_0764,0.0,0.24,0.25,0.45,14.7
USER_0765,0.55,0.57,0.64,0.58,58.3
USER_0766,0.87,0.08,0.83,0.82,62.1
USER_0767,0.43,0.66,0.54,1.0,53.2
USER_0768,0.44,0.67,0.01,0.77,38.0
USER_0769,0.38,0.17,0.68,0.22,40.7
USER_0770,0.03,0.6,0.81,0.75,43.5
USER_0771,0.79,0.61,0.28,0.54,58.3
USER_0772,0.46,0.48,0.05,0.45,34.3
USER_0773,0.53,0.95,0.52,0.94,65.3
USER_0774,0.26,0.11,0.04,0.7,14.9
USER_0775,0.78,0.41,0.42,0.68,56.1
USER_0776,0.79,0.88,0.02,0.01,58.6
USER_0777,0.55,0.39,0.22,0.87,40.3
USER_0778,0.9,0.42,0.39,0.79,60.3
USER_0779,0.12,0.67,0.11,0.3,28.2
USER_0780,0.79,0.67,0.11,0.29,55.0
USER_0781,0.56,0.02,0.83,0.05,47.9
USER_0782,0.23,0.46,0.04,0.05,24.2
USER_0783,0.13,0.33,0.69,0.67,35.8
USER_0784,0.3,0.63,0.81,0.19,55.2
USER_0785,0.86,0.56,0.13,0.92,55.1
USER_0786,0.79,0.65,0.2,0.84,57.1
USER_0787,0.65,0.65,0.64,0.35,64.7
USER_0788,0.09,0.25,0.32,0.38,20.7
USER_0789,0.95,0.25,0.48,0.33,59.9
USER_0790,0.31,0.37,0.84,0.09,48.7
USER_0791,0.61,0.24,0.14,0.03,35.8
USER_0792,0.8,0.68,0.62,0.45,71.0
USER_0793,0.13,0.6,0.94,0.94,51.4
USER_0794,0.65,0.22,0.06,0.92,34.4
USER_0795,0.03,0.88,0.06,0.81,29.4
USER_0796,0.1,0.46,0.55,0.63,34.3
USER_0797,0.72,0.13,0.96,0.86,61.5
USER_0798,0.16,0.21,0.22,0.52,19.3
USER_0799,0.44,0.54,0.33,0.18,43.7
USER_0800,0.25,0.34,0.1,0.68,23.2
USER_0801,0.42,0.85,0.36,0.92,53.1
USER_0802,0.08,0.49,0.04,0.02,19.1
USER_0803,0.75,0.92,0.39,0.25,69.3
USER_0804,0.08,0.1,0.56,0.27,23.0
USER_0805,0.84,0.67,0.98,0.1,83.1
USER_0806,0.66,0.89,0.82,0.23,77.7
USER_0807,0.42,0.29,0.82,0.38,50.1
USER_0808,0.87,0.14,0.23,0.94,45.9
USER_0809,0.19,0.46,0.09,0.86,24.1
USER_0810,0.26,0.96,0.6,0.95,57.2
USER_0811,0.14,0.63,0.52,0.12,40.1
USER_0812,0.38,0.64,0.52,0.03,50.0
USER_0813,0.99,0.67,0.11,0.11,63.0
USER_0814,0.16,0.04,0.49,0.91,22.3
USER_0815,0.83,0.45,0.15,0.16,51.2
USER_0816,0.65,0.08,0.42,0.57,41.0
USER_0817,0.02,0.32,0.06,0.23,12.2
USER_0818,0.94,0.82,0.86,0.02,88.0
USER_0819,0.97,0.66,0.01,0.08,58.9
USER_0820,0.92,1.0,0.94,0.71,95.0
USER_0821,0.5,0.17,0.86,0.18,50.9
USER_0822,0.22,0.4,0.75,0.23,43.3
USER_0823,0.39,0.81,0.98,0.38,69.3
USER_0824,0.61,0.22,0.05,0.66,32.5
USER_0825,0.38,0.15,0.64,0.47,38.9
USER_0826,0.71,0.43,0.85,0.94,66.8
USER_0827,0.8,0.38,0.13,0.43,47.3
USER_0828,0.21,0.98,0.58,0.2,55.2
USER_0829,0.4,0.46,0.39,0.54,41.5
USER_0830,0.96,0.86,0.44,0.45,77.4
USER_0831,0.25,0.89,0.91,0.79,64.0
USER_0832,0.35,0.16,0.54,0.94,35.0
USER_0833,0.04,0.72,0.09,0.84,25.9
USER_0834,0.33,0.28,0.94,0.39,49.8
USER_0835,0.37,0.09,0.19,0.22,23.2
USER_0836,0.1,0.87,0.89,0.91,56.8
USER_0837,0.0,0.29,0.97,0.39,37.8
USER_0838,0.58,0.35,0.88,0.77,60.1
USER_0839,0.3,0.32,0.68,0.99,42.0
USER_0840,0.02,0.2,0.74,0.58,29.0
USER_0841,0.86,0.43,0.7,0.48,68.3
USER_0842,0.58,0.43,0.46,0.7,49.9
USER_0843,0.17,0.41,0.27,0.19,27.2
USER_0844,0.87,0.92,0.29,0.49,71.1
USER_0845,0.25,0.34,0.73,0.31,42.1
USER_0846,0.23,0.03,0.63,0.16,29.0
USER_0847,0.89,0.18,0.58,0.61,58.4
USER_0848,0.18,0.72,0.65,0.58,48.3
USER_0849,0.88,0.59,0.77,0.76,76.0
USER_0850,0.8,0.95,0.75,0.87,83.0
USER_0851,0.31,0.69,0.11,0.22,36.4
USER_0852,0.03,0.19,0.36,0.78,17.7
USER_0853,0.08,0.12,0.26,0.37,14.6
USER_0854,0.11,0.52,0.54,0.63,36.2
USER_0855,0.89,0.67,0.06,0.85,57.5
USER_0856,0.4,0.17,0.76,0.26,43.9
USER_0857,0.03,0.6,0.11,0.6,22.5
USER_0858,0.56,0.87,0.27,0.48,56.6
USER_0859,0.21,0.73,0.78,0.79,53.7
USER_0860,0.24,0.66,0.05,0.7,30.9
USER_0861,0.16,0.79,0.66,0.77,49.9
USER_0862,0.76,0.1,0.92,0.29,61.0
USER_0863,0.0,0.2,0.62,0.7,24.6
USER_0864,0.44,0.04,0.71,0.61,40.1
USER_0865,0.09,0.14,0.79,0.46,31.5
USER_0866,0.55,0.91,0.22,0.38,55.9
USER_0867,0.35,0.22,0.58,0.33,38.0
USER_0868,0.03,0.66,0.31,0.01,30.3
USER_0869,0.46,0.69,0.25,0.17,46.6
USER_0870,0.57,0.65,0.19,0.06,48.0
USER_0871,0.25,0.55,0.59,0.85,44.2
USER_0872,0.77,0.49,0.79,0.86,69.2
USER_0873,0.37,0.42,0.88,0.85,53.8
USER_0874,0.75,0.92,0.43,0.82,70.5
USER_0875,0.58,0.01,0.37,0.22,34.6
USER_0876,0.87,0.05,0.69,0.49,57.0
USER_0877,0.55,0.49,0.78,0.91,60.1
USER_0878,0.19,0.33,0.25,0.76,25.0
USER_0879,0.82,0.41,0.3,0.0,54.1
USER_0880,0.78,1.0,0.53,0.46,77.1
USER_0881,0.97,0.78,0.44,0.01,75.4
USER_0882,0.09,0.88,0.71,0.28,51.3
USER_0883,0.59,0.37,0.5,0.44,49.7
USER_0884,0.49,0.24,0.11,0.89,30.1
USER_0885,0.67,0.77,0.17,0.65,55.0
USER_0886,0.98,0.81,0.9,0.36,90.5
USER_0887,0.53,0.55,0.23,0.49,44.6
USER_0888,0.69,0.9,0.05,0.82,56.1
USER_0889,0.35,0.97,0.73,0.3,65.0
USER_0890,0.3,0.47,0.68,0.62,46.5
USER_0891,0.34,0.22,0.6,0.26,38.2
USER_0892,0.04,0.52,0.5,0.48,32.2
USER_0893,0.28,0.99,0.97,0.02,70.0
USER_0894,0.17,0.29,0.12,0.85,19.1
USER_0895,0.46,0.62,0.51,0.05,52.3
USER_0896,0.46,0.69,0.56,0.22,55.9
USER_0897,0.77,0.21,0.02,0.33,37.7
USER_0898,0.5,0.59,0.41,0.63,50.0
USER_0899,0.46,0.31,0.78,0.72,51.1
USER_0900,0.23,0.85,0.47,0.08,48.8
USER_0901,0.85,0.71,0.88,0.04,81.7
USER_0902,0.09,0.83,0.64,0.8,47.7
USER_0903,0.98,0.2,0.77,0.71,68.3
USER_0904,0.48,0.03,0.8,0.83,44.1
USER_0905,0.19,0.85,0.69,0.68,53.8
USER_0906,0.35,0.39,0.75,0.75,48.2
USER_0907,0.02,0.18,0.7,0.38,27.2
USER_0908,0.17,0.09,0.55,0.59,26.0
USER_0909,0.34,0.52,0.57,0.81,46.3
USER_0910,0.55,0.15,0.19,0.17,32.2
USER_0911,0.13,0.57,0.83,0.42,47.2
USER_0912,0.68,0.73,0.31,0.74,58.4
USER_0913,0.84,0.54,0.54,0.53,66.0
USER_0914,0.57,0.9,0.25,0.68,57.3
USER_0915,0.3,0.16,0.7,0.29,37.8
USER_0916,0.12,0.49,0.98,0.03,48.9
USER_0917,0.02,0.16,0.8,0.03,29.6
USER_0918,0.73,0.88,0.62,0.94,74.2
USER_0919,0.63,0.93,0.57,0.94,70.2
USER_0920,0.48,0.4,0.49,0.21,45.9
USER_0921,0.1,0.31,0.2,0.15,19.3
USER_0922,0.21,0.28,0.35,0.02,27.3
USER_0923,0.82,0.86,0.41,0.23,70.9
USER_0924,0.48,0.68,0.94,0.33,67.8
USER_0925,0.96,0.88,0.43,0.24,77.7
USER_0926,1.0,0.12,0.59,0.8,61.3
USER_0927,0.8,0.48,0.92,0.75,74.0
USER_0928,0.26,0.68,0.52,0.08,46.4
USER_0929,0.23,0.9,0.25,0.7,43.7
USER_0930,0.25,0.38,0.38,0.52,32.8
USER_0931,0.99,0.31,0.38,0.13,60.3
USER_0932,0.34,0.91,0.71,0.74,62.2
USER_0933,0.71,0.05,0.3,0.09,38.9
USER_0934,0.96,0.48,0.73,0.18,74.7
USER_0935,0.82,0.46,0.89,0.15,73.3
USER_0936,0.6,0.15,0.34,0.94,38.7
USER_0937,0.17,0.39,0.14,0.7,22.7
USER_0938,0.17,0.72,0.64,0.41,47.6
USER_0939,0.49,0.37,0.36,0.82,41.5
USER_0940,0.95,0.31,0.53,0.22,63.2
USER_0941,0.9,0.78,0.63,0.93,78.3
USER_0942,0.17,0.99,0.41,0.7,48.8
USER_0943,0.29,0.78,0.92,0.56,62.6
USER_0944,0.59,0.85,0.4,0.79,61.1
USER_0945,0.48,0.94,0.31,0.64,56.7
USER_0946,0.12,0.8,0.89,0.89,55.5
USER_0947,0.37,0.98,0.14,0.83,48.4
USER_0948,0.95,0.75,0.12,0.2,64.1
USER_0949,0.95,0.66,0.94,0.24,86.0
USER_0950,0.56,0.69,0.21,0.07,49.4
USER_0951,0.64,0.9,0.15,0.22,57.1
USER_0952,0.22,0.68,0.54,0.34,45.4
USER_0953,0.74,0.76,0.05,0.03,53.9
USER_0954,0.05,0.22,0.62,0.31,27.2
USER_0955,0.22,0.91,0.45,0.77,49.6
USER_0956,0.01,0.45,0.64,0.84,33.1
USER_0957,0.39,0.16,0.28,0.01,28.8
USER_0958,0.85,0.8,0.91,0.01,85.3
USER_0959,0.98,0.36,0.27,0.15,58.1
USER_0960,0.67,0.18,0.64,0.87,51.4
USER_0961,0.74,0.26,0.95,0.47,65.9
USER_0962,0.26,0.03,0.4,0.98,23.3
USER_0963,0.52,0.09,0.16,0.89,28.3
USER_0964,0.74,0.59,0.07,0.89,49.4
USER_0965,0.5,0.87,0.96,0.13,74.9
USER_0966,0.09,0.45,0.76,0.48,39.9
USER_0967,0.74,0.63,0.92,0.99,76.1
USER_0968,0.22,0.81,0.7,0.15,54.1
USER_0969,0.1,0.36,0.34,0.57,25.0
USER_0970,0.48,0.65,0.12,0.34,42.3
USER_0971,0.07,0.35,0.93,0.39,41.2
USER_0972,0.63,0.64,0.49,0.89,59.1
USER_0973,0.64,0.22,0.4,0.59,44.2
USER_0974,0.26,0.98,0.58,0.76,57.2
USER_0975,0.96,0.08,0.11,0.67,44.1
USER_0976,0.82,0.51,0.31,0.53,57.4
USER_0977,0.11,0.29,0.64,0.79,32.3
USER_0978,0.75,0.6,0.1,0.97,51.0
USER_0979,0.35,0.43,0.14,0.97,31.1
USER_0980,0.75,0.31,0.51,0.79,54.6
USER_0981,0.8,0.25,0.62,0.49,58.1
USER_0982,0.15,0.18,0.19,0.16,17.1
USER_0983,0.66,0.78,0.03,0.04,50.7
USER_0984,0.86,0.22,0.96,0.23,69.8
USER_0985,0.32,0.77,0.03,0.34,36.8
USER_0986,0.08,0.49,0.0,0.13,17.9
USER_0987,0.03,0.07,0.32,0.22,12.9
USER_0988,0.11,0.17,0.22,0.08,16.1
USER_0989,0.0,0.89,0.57,0.52,43.8
USER_0990,0.33,0.6,0.89,0.13,57.9
USER_0991,0.3,0.18,0.48,0.74,31.8
USER_0992,0.11,0.7,0.77,0.33,48.5
USER_0993,0.65,0.82,0.91,0.67,77.9
USER_0994,0.99,0.33,0.19,0.88,55.2
USER_0995,0.9,0.56,0.49,0.09,67.5
USER_0996,0.25,0.29,0.64,0.99,37.9
USER_0997,0.77,0.08,0.33,0.65,43.1
USER_0998,0.94,0.4,0.74,0.05,71.8
USER_0999,0.91,0.75,0.71,0.31,80.2
USER_1000,0.88,0.46,0.42,0.89,61.6
