district,hour,demand,supply,weather_score,event_score,historical_congestion,pool_acceptance,pickup_flexibility,fare_sensitivity,risk_score
D5,6,102,54,0.89,0.64,0.34,0.85,0.91,0.76,0.4
D4,1,76,61,0.47,0.69,0.26,0.38,0.16,0.01,0.27
D12,0,82,41,0.75,0.49,0.18,0.46,0.7,0.68,0.39
D2,18,192,62,0.8,0.35,0.54,0.27,0.87,0.49,0.65
D11,3,111,30,0.74,0.81,0.55,0.27,0.31,0.38,0.75
D3,23,70,99,0.93,0.49,0.23,0.06,0.83,0.34,0.17
D3,21,27,97,0.45,0.99,0.71,0.61,0.33,0.17,0.18
D4,1,24,118,0.17,0.46,0.73,0.45,0.79,0.33,0.17
D4,13,105,121,0.05,0.07,0.02,0.61,0.07,0.39,0.16
D10,1,58,52,0.25,0.68,0.4,0.55,0.66,0.44,0.27
D11,14,87,81,0.14,0.05,0.89,0.8,0.68,0.67,0.36
D11,11,23,76,0.56,0.25,0.52,0.75,0.49,0.45,0.15
D5,4,40,85,0.18,0.35,0.35,0.77,0.69,0.8,0.15
D4,19,234,51,0.04,0.74,0.25,0.5,0.92,0.64,0.87
D11,6,78,36,0.04,0.49,0.24,0.35,0.73,0.19,0.43
D10,23,68,45,0.83,0.03,0.1,0.93,0.96,0.28,0.29
D8,20,36,113,0.59,0.62,0.82,0.05,0.45,0.08,0.21
D6,9,216,83,0.36,0.41,0.09,0.15,0.53,0.95,0.48
D6,13,94,63,0.89,0.92,0.29,0.42,0.26,0.89,0.32
D8,13,52,55,0.07,0.5,0.05,0.61,0.99,0.08,0.18
D7,4,85,92,0.98,0.71,0.78,0.01,0.06,0.57,0.31
D10,17,216,90,0.62,0.22,0.04,0.72,0.36,0.96,0.44
D11,23,105,87,0.18,0.76,0.31,0.56,0.3,0.75,0.27
D12,13,117,108,0.68,0.72,0.57,0.48,0.39,0.49,0.3
D10,1,29,44,0.76,0.9,0.41,0.42,0.92,0.24,0.19
D8,11,61,122,0.43,0.03,0.28,0.52,0.37,0.28,0.14
D2,21,76,116,0.86,0.45,0.28,0.16,0.92,0.74,0.17
D9,23,36,89,0.15,0.68,0.8,0.11,0.42,0.78,0.22
D1,5,28,65,0.28,0.1,0.97,0.29,0.85,0.53,0.25
D8,3,92,109,0.09,0.41,0.35,0.71,0.52,0.12,0.22
D12,12,55,77,0.21,0.94,0.04,0.59,0.31,0.93,0.14
D11,3,70,126,0.24,0.44,0.04,0.48,0.45,0.84,0.11
D12,21,114,99,0.92,0.99,0.76,0.57,0.42,0.14,0.35
D12,13,93,109,0.08,0.06,0.55,0.56,0.26,0.06,0.25
D4,15,87,51,0.43,0.72,0.78,0.31,0.29,0.54,0.45
D4,3,96,109,0.53,0.58,0.7,0.1,0.19,0.28,0.29
D5,23,112,35,0.9,0.5,0.91,0.9,0.34,0.28,0.73
D8,0,45,104,1.0,0.97,0.89,0.6,0.62,0.09,0.24
D5,12,107,122,0.75,0.13,0.79,0.7,0.39,0.95,0.3
D8,3,22,81,0.97,0.9,0.48,0.46,0.71,0.83,0.14
D10,19,203,109,0.79,0.69,0.31,0.76,0.99,0.11,0.39
D1,17,192,50,0.96,0.26,0.51,0.58,0.38,0.88,0.78
D12,5,71,119,0.71,0.9,0.5,0.05,0.46,0.68,0.2
D10,2,95,43,0.08,0.43,0.61,0.89,0.16,0.33,0.5
D9,22,108,101,0.4,0.81,0.19,0.31,0.39,0.87,0.23
D6,12,87,57,0.65,0.39,0.66,0.14,0.73,0.6,0.39
D3,15,90,39,0.35,0.85,0.46,0.09,0.22,0.85,0.49
D8,4,76,129,0.27,0.64,0.62,0.72,0.18,0.47,0.22
D9,3,85,119,0.58,0.14,0.24,0.7,0.38,0.5,0.17
D6,20,69,43,0.93,0.65,0.43,0.7,0.82,0.29,0.36
D11,7,145,103,0.03,0.19,0.21,0.92,0.62,0.39,0.29
D7,18,172,91,0.77,0.41,0.88,0.35,0.96,0.57,0.5
D1,13,100,51,0.72,0.17,0.49,0.56,0.9,0.95,0.44
D5,6,87,48,0.96,0.02,0.22,0.62,0.15,0.6,0.36
D5,13,85,68,0.93,0.21,0.04,0.98,0.04,0.15,0.23
D10,5,92,48,0.76,0.54,0.68,0.31,0.4,0.01,0.47
D4,11,35,83,0.52,0.48,0.21,0.96,0.52,0.85,0.11
D6,15,44,47,0.2,0.5,0.99,0.15,0.52,0.36,0.35
D7,16,42,114,0.55,0.25,0.53,0.76,0.13,0.31,0.16
D9,12,30,68,0.77,0.69,0.29,0.63,0.12,0.8,0.13
D1,22,87,54,0.9,0.7,0.66,0.82,0.05,0.95,0.41
D6,13,82,125,0.79,0.36,0.28,0.03,0.85,0.75,0.17
D7,6,49,74,0.2,0.88,0.82,0.08,0.95,0.17,0.27
D3,13,109,90,0.6,0.64,0.31,0.07,0.12,0.39,0.27
D8,14,119,80,0.33,0.71,0.99,0.59,0.21,0.76,0.45
D5,11,117,38,0.01,0.28,0.61,0.6,0.09,0.91,0.66
D9,16,95,31,0.2,0.0,0.84,0.91,0.88,1.0,0.69
D5,8,231,54,0.11,0.87,0.07,0.47,0.96,0.51,0.78
D9,21,81,98,0.84,0.82,0.35,0.07,0.26,0.82,0.21
D10,14,71,115,0.26,0.12,0.74,0.21,0.3,0.05,0.25
D4,11,24,88,0.28,0.37,0.66,0.01,0.36,0.29,0.17
D9,1,87,38,0.96,0.66,0.19,0.78,0.5,0.37,0.44
D5,4,112,51,0.38,0.65,0.36,0.82,0.68,0.98,0.46
D10,12,46,39,0.01,0.86,0.26,1.0,0.5,0.0,0.26
D9,19,209,91,0.28,0.14,0.61,0.41,0.95,0.31,0.52
D3,22,80,80,0.12,0.43,0.34,0.02,0.1,0.93,0.24
D4,7,139,55,0.1,0.1,0.31,0.23,0.8,0.31,0.51
D9,13,81,34,0.08,0.39,0.21,0.59,0.33,0.23,0.46
D10,14,89,92,0.59,0.02,0.41,0.96,0.38,0.73,0.25
D11,10,75,88,0.19,0.9,0.2,0.1,0.71,0.75,0.19
D6,0,82,118,0.36,0.53,0.96,0.12,0.93,0.47,0.3
D2,20,78,80,0.86,0.85,0.15,0.7,0.72,0.95,0.2
D7,2,69,33,0.42,0.06,0.91,0.67,0.78,0.2,0.54
D2,16,67,61,0.92,0.23,0.43,0.25,0.75,0.91,0.28
D11,18,249,100,0.5,0.26,0.38,0.81,0.32,0.76,0.52
D2,13,71,128,0.4,0.39,0.23,0.13,0.76,0.37,0.14
D11,21,93,63,0.75,0.8,0.64,0.93,0.78,0.81,0.38
D1,22,55,99,0.07,0.39,0.69,0.2,0.53,0.13,0.23
D11,7,172,95,0.09,0.2,0.47,0.08,0.54,0.13,0.41
D11,12,35,88,0.65,0.06,0.06,0.34,0.76,0.93,0.08
D12,19,182,68,0.49,0.08,0.92,0.19,0.82,0.09,0.65
D11,2,117,118,0.79,0.76,0.98,0.53,0.34,0.0,0.36
D3,4,114,70,0.92,0.44,0.43,0.69,0.8,0.39,0.37
D6,8,210,96,0.39,0.73,0.61,0.49,0.81,0.1,0.51
D8,5,113,83,0.6,0.68,0.45,0.66,0.23,0.86,0.33
D9,21,74,124,0.5,0.14,0.32,0.36,0.72,0.92,0.17
D7,1,38,91,0.98,0.14,0.08,0.03,0.19,0.48,0.09
D4,12,118,122,0.83,0.76,0.46,0.97,0.09,0.43,0.26
D6,4,78,94,0.91,0.72,0.82,0.82,0.57,0.54,0.3
D5,7,197,77,0.25,0.38,0.02,0.07,0.91,0.23,0.46
D8,22,37,55,0.77,0.08,0.58,0.45,0.04,0.3,0.23
D1,0,38,84,0.27,0.01,0.88,0.64,0.83,0.1,0.24
D1,19,248,109,0.21,0.29,0.22,0.19,0.51,0.45,0.45
D11,11,76,35,0.94,0.01,0.18,0.58,0.86,0.61,0.42
D6,22,20,37,0.02,0.23,0.77,0.53,0.84,0.93,0.24
D10,10,116,80,0.97,0.42,0.26,0.21,0.88,0.74,0.31
D12,6,104,117,0.15,0.12,0.19,0.14,0.77,0.72,0.2
D2,14,44,76,0.82,0.1,0.38,0.76,0.84,0.31,0.17
D5,21,74,93,0.28,0.9,0.39,0.32,0.18,0.89,0.21
D1,23,102,122,0.35,0.59,0.87,0.24,0.3,0.95,0.31
D7,10,29,85,0.22,0.93,0.62,0.74,0.24,0.93,0.17
D1,21,31,62,0.59,0.35,0.41,0.74,0.74,0.04,0.16
D4,15,90,46,0.35,0.68,0.53,0.28,0.15,0.6,0.45
D9,2,80,39,0.66,0.2,0.95,0.87,0.18,0.64,0.54
D1,19,160,109,0.02,0.62,0.11,0.69,0.88,0.3,0.28
D4,13,89,46,0.06,0.13,0.21,0.35,0.71,0.99,0.38
D6,2,69,66,0.1,0.0,0.96,0.43,0.88,0.29,0.36
D6,0,101,91,0.42,0.93,0.96,0.73,0.14,0.22,0.37
D12,20,109,109,0.81,0.55,0.18,0.21,0.4,0.48,0.21
D8,14,91,117,0.89,0.93,0.15,0.47,0.28,0.32,0.17
D1,0,96,58,0.24,0.33,0.42,0.65,0.01,0.92,0.37
D7,16,51,117,0.57,0.33,0.05,0.54,0.28,0.44,0.09
D1,1,99,40,0.77,0.4,0.65,0.61,0.38,0.41,0.56
D7,19,225,55,0.29,0.71,0.08,0.55,0.09,0.63,0.75
D3,5,54,62,0.41,0.57,0.06,0.2,0.57,0.08,0.17
D11,7,147,86,0.52,0.93,0.49,0.41,0.38,0.76,0.4
D8,15,32,103,0.13,0.03,0.96,0.53,0.05,0.77,0.23
D3,18,230,75,0.03,0.71,0.43,0.78,0.7,0.47,0.63
D1,0,100,93,0.15,0.33,0.36,0.65,0.73,0.96,0.26
D8,2,20,92,0.63,0.18,1.0,0.43,0.83,0.58,0.22
D3,2,108,63,0.07,0.51,0.53,0.97,0.49,0.7,0.4
D2,4,29,113,0.19,0.51,0.38,0.11,0.97,0.92,0.12
D1,11,26,85,0.34,0.14,0.39,0.21,0.91,0.67,0.13
D3,11,99,66,0.08,0.2,0.19,0.34,0.55,0.43,0.3
D2,19,158,109,0.19,0.41,0.51,0.23,0.44,0.02,0.35
D2,12,31,46,0.91,0.41,0.44,0.63,0.0,0.73,0.2
D6,19,177,69,0.02,0.32,0.27,0.04,0.71,0.96,0.51
D12,8,155,97,0.65,0.15,0.16,0.18,0.56,0.47,0.32
D1,6,102,41,0.38,0.0,0.31,0.29,0.94,0.34,0.5
D2,3,40,71,0.67,0.97,0.51,0.68,0.59,0.52,0.19
D6,18,190,107,0.59,0.94,0.06,0.88,0.99,0.73,0.33
D3,21,73,63,0.22,0.48,0.15,0.8,0.85,0.0,0.24
D4,18,136,94,0.85,1.0,0.95,0.18,0.95,0.89,0.43
D1,5,54,44,0.49,0.67,0.54,0.57,0.33,0.89,0.32
D8,12,84,119,0.82,0.07,0.06,0.03,0.15,0.54,0.14
D7,10,118,54,0.41,0.12,0.69,0.31,0.8,0.12,0.52
D7,12,78,108,0.98,0.92,0.06,0.81,0.79,0.67,0.14
D3,12,105,35,0.77,0.63,0.74,0.46,0.21,0.14,0.67
D10,21,71,108,0.97,0.84,0.75,0.15,0.76,0.51,0.26
D10,19,217,70,0.51,0.9,0.65,0.44,0.58,0.09,0.67
D3,14,90,122,0.47,0.45,0.73,0.2,0.11,0.59,0.27
D2,20,115,61,0.76,0.05,0.09,0.39,0.5,0.32,0.35
D12,12,72,88,0.88,0.19,0.73,0.49,0.93,0.83,0.28
D1,21,88,91,0.96,0.07,0.14,0.35,0.51,0.8,0.2
D7,10,23,115,0.32,0.19,0.34,0.94,0.79,1.0,0.1
D7,18,147,84,0.8,0.41,0.94,0.56,0.03,0.26,0.49
D12,7,210,99,0.21,0.12,0.5,0.84,0.73,0.06,0.47
D2,19,243,105,0.55,0.17,0.97,0.76,0.95,0.44,0.59
D7,7,153,51,0.18,0.45,0.09,0.66,0.5,0.08,0.55
D8,9,142,103,0.35,0.34,0.48,0.5,0.34,0.18,0.34
D1,15,34,98,0.93,0.47,0.06,0.0,0.65,0.6,0.07
D9,18,132,86,0.15,0.43,0.63,0.61,0.92,0.59,0.39
D7,22,56,32,0.63,0.64,0.08,0.36,0.18,0.04,0.32
D3,10,82,64,0.59,0.94,0.18,0.12,0.4,0.44,0.26
D8,12,71,116,0.12,0.11,0.26,0.44,0.16,0.53,0.16
D7,8,157,109,0.33,0.1,0.75,0.74,0.5,0.27,0.4
D11,19,223,67,0.56,0.85,0.16,0.96,0.54,0.87,0.63
D8,23,55,62,0.19,0.51,0.85,0.37,0.94,0.16,0.31
D6,18,193,75,0.8,0.77,0.13,0.54,0.41,0.25,0.49
D9,15,67,69,0.97,0.22,0.04,0.85,0.57,0.16,0.18
D5,6,36,69,0.21,0.83,0.4,0.33,0.89,0.12,0.17
D3,18,136,106,0.19,0.92,0.98,0.14,0.32,0.88,0.41
D3,11,27,85,0.45,0.64,0.11,0.28,0.67,0.28,0.08
D1,14,50,88,0.75,0.11,0.1,0.9,0.76,0.72,0.12
D12,22,77,41,0.28,0.9,0.75,0.16,0.33,0.43,0.47
D8,13,67,60,0.02,0.79,0.31,0.33,0.16,0.64,0.26
D2,10,102,92,0.54,0.75,0.72,0.46,0.5,0.93,0.33
D3,9,203,88,0.96,0.04,0.2,0.85,0.36,0.84,0.45
D8,10,95,49,0.39,0.8,0.46,0.94,0.27,0.07,0.43
D8,5,67,100,0.42,0.14,0.27,0.43,0.97,0.85,0.17
D11,1,73,107,0.97,0.22,0.45,0.93,0.5,0.45,0.21
D4,10,94,100,0.69,0.58,0.77,0.16,0.86,0.35,0.31
D4,18,158,59,0.72,0.26,0.76,0.16,0.2,0.67,0.62
D5,5,112,102,0.56,0.66,0.52,0.95,0.94,0.95,0.29
D6,13,119,77,0.97,0.61,0.93,0.51,0.79,0.09,0.45
D5,19,203,68,0.69,0.11,0.26,0.19,0.81,0.77,0.58
D7,5,75,124,0.9,0.66,0.24,0.49,0.39,0.2,0.15
D2,16,36,38,0.7,0.92,0.61,0.78,0.49,0.38,0.28
D7,9,238,82,0.74,0.16,0.62,0.83,0.59,0.87,0.64
D10,0,53,74,0.29,0.6,0.05,0.86,0.79,0.55,0.14
D7,2,107,38,0.3,0.34,0.61,0.57,0.85,0.07,0.61
D1,7,136,65,0.78,0.46,0.37,0.87,0.08,0.51,0.44
D7,7,148,88,0.3,0.29,0.75,0.51,0.9,0.79,0.44
D5,19,135,99,0.56,0.35,0.81,0.61,0.94,0.53,0.39
D3,21,30,105,0.25,0.03,0.55,0.76,0.59,0.17,0.15
D3,14,80,71,0.82,0.98,0.0,0.43,0.19,0.45,0.2
D4,23,32,41,0.11,0.62,0.64,0.07,0.82,0.92,0.26
D12,6,104,103,0.83,0.5,0.75,0.35,0.55,0.66,0.32
D2,10,39,79,0.6,0.38,0.25,0.62,0.82,0.73,0.13
D2,6,55,121,0.19,0.54,0.46,0.19,0.81,0.79,0.17
D1,3,107,98,0.54,0.38,0.97,0.15,0.09,0.09,0.37
D5,11,56,41,0.28,0.36,0.3,0.29,0.61,0.58,0.3
D4,5,118,69,0.32,0.46,0.22,0.03,0.48,0.38,0.35
D11,13,73,31,0.35,0.28,0.21,0.74,0.95,0.14,0.45
D10,11,69,70,0.06,0.18,0.56,0.26,0.3,0.2,0.28
D2,10,64,38,0.99,0.56,0.95,0.12,0.21,0.78,0.47
D3,18,191,71,0.03,0.84,0.61,0.7,0.9,0.16,0.59
D7,20,66,34,0.66,0.15,0.3,0.84,0.15,0.31,0.4
D7,4,95,30,0.37,0.03,0.64,0.02,0.69,0.28,0.67
D12,13,63,51,0.65,0.25,0.62,0.23,0.3,0.05,0.33
D4,20,57,48,0.36,0.98,0.6,0.95,0.57,0.46,0.32
D5,23,99,60,0.67,0.83,0.16,0.39,0.62,0.77,0.32
D5,15,86,116,0.73,0.6,0.63,0.94,0.42,0.02,0.25
D6,12,61,111,0.69,0.93,0.43,0.27,0.97,0.11,0.18
D9,21,45,42,0.11,0.45,0.02,0.22,0.13,0.72,0.19
D2,21,77,47,0.66,0.98,0.54,0.21,0.39,0.59,0.39
D5,19,196,107,0.28,0.3,0.99,0.09,0.43,0.72,0.51
D12,21,106,32,0.03,0.24,0.35,0.9,0.63,0.23,0.65
D3,3,74,118,0.41,0.64,0.97,0.98,0.41,0.8,0.29
D4,10,110,87,0.43,0.38,0.1,0.95,0.1,0.48,0.25
D10,16,82,120,0.47,0.63,0.73,0.85,0.95,0.61,0.26
D6,6,71,118,0.7,0.3,0.11,0.85,0.42,0.09,0.13
D12,13,43,101,0.31,0.62,0.27,0.66,0.34,0.21,0.13
D8,10,28,66,0.32,0.28,0.57,0.83,0.45,0.77,0.18
D1,21,113,112,0.06,0.05,0.59,0.21,0.22,0.22,0.29
D10,8,182,65,0.69,0.91,0.78,0.39,0.1,0.09,0.64
D8,22,43,50,0.57,0.88,0.62,0.64,0.15,0.6,0.27
D11,12,119,69,0.35,0.97,0.59,0.87,0.17,0.55,0.42
D7,22,81,99,0.71,0.72,0.91,0.66,0.2,0.61,0.31
D1,17,198,63,0.54,0.68,0.45,0.84,0.42,0.62,0.65
D2,10,61,79,0.47,0.56,0.23,0.47,0.62,0.5,0.18
D3,14,80,33,0.51,0.13,0.16,0.72,0.63,0.49,0.46
D1,21,91,117,0.64,0.19,0.4,0.98,0.0,0.92,0.21
D9,18,204,66,0.66,0.29,0.71,0.15,0.92,0.53,0.68
D8,0,104,86,0.29,0.89,0.04,0.93,0.82,0.62,0.22
D2,3,109,77,0.14,0.17,0.13,0.52,0.96,0.27,0.28
D9,13,63,74,0.16,0.92,0.11,0.64,0.36,0.87,0.17
D7,13,110,109,0.64,0.52,0.59,0.88,0.66,0.02,0.29
D9,2,109,62,0.87,0.72,0.24,0.41,0.17,0.56,0.36
D6,16,50,76,0.41,0.11,0.17,0.42,0.82,0.38,0.15
D6,2,25,101,0.17,0.27,0.59,0.53,0.16,0.6,0.15
D11,15,90,63,0.76,0.96,0.76,0.02,0.33,0.36,0.39
D4,13,72,43,0.83,0.27,0.33,0.5,0.49,0.72,0.36
D10,19,145,92,0.88,0.3,0.58,0.29,0.59,0.02,0.39
D10,12,92,103,0.61,0.2,0.1,0.93,0.56,0.41,0.18
D2,14,100,41,0.86,0.13,0.94,0.09,0.1,0.83,0.6
D7,13,89,48,0.02,0.23,0.34,0.46,0.42,0.25,0.39
D5,23,60,82,0.11,0.64,1.0,0.95,0.92,0.05,0.31
D11,18,158,55,0.09,0.46,0.98,0.9,0.87,0.5,0.69
D6,5,78,118,0.71,0.55,0.78,0.7,0.59,0.98,0.26
D2,9,193,73,0.07,0.12,0.02,0.59,0.57,0.06,0.48
D5,14,108,45,0.5,0.8,0.54,0.28,0.11,0.07,0.53
D10,20,71,109,0.47,0.78,0.09,0.37,0.2,0.6,0.13
D4,21,25,66,0.31,0.02,0.9,0.09,0.25,0.25,0.23
D9,19,214,53,0.87,0.38,0.79,0.79,0.49,0.41,0.87
D6,5,117,121,0.17,0.07,0.97,0.32,0.73,0.83,0.35
D2,22,57,70,0.35,0.79,0.61,0.67,0.46,0.2,0.26
D1,9,221,66,0.77,0.74,0.52,0.36,0.13,0.72,0.7
D5,6,33,100,0.03,0.9,0.52,0.46,0.44,0.5,0.15
D9,21,105,80,0.67,0.24,0.39,0.56,0.16,0.9,0.31
D6,16,84,122,0.82,0.46,0.47,0.8,0.75,0.97,0.21
D10,17,181,80,0.93,0.18,0.64,0.21,0.17,0.48,0.52
D12,16,49,86,0.88,0.37,0.93,0.4,0.48,0.58,0.27
D7,8,208,67,0.32,0.52,0.6,0.13,0.69,0.75,0.67
D5,9,228,99,0.59,0.05,0.86,0.08,0.23,0.32,0.57
D10,9,159,83,0.08,0.71,0.86,0.6,0.08,0.23,0.5
D6,6,61,40,0.26,0.54,0.52,0.19,0.56,0.96,0.37
D5,15,46,53,0.09,0.83,0.35,0.06,0.05,0.43,0.22
D11,17,228,88,0.32,0.27,0.64,0.9,0.59,0.0,0.58
D9,5,91,47,0.88,0.9,0.45,0.53,0.75,0.84,0.43
D6,19,206,94,0.35,1.0,0.08,0.13,0.33,0.6,0.41
D11,0,107,116,0.56,0.92,0.38,0.05,0.49,0.17,0.24
D8,0,31,78,0.43,0.78,0.99,0.12,0.93,0.03,0.25
D2,11,113,60,0.46,0.81,0.05,0.47,0.47,0.29,0.35
D12,20,111,51,0.97,0.57,0.7,0.67,1.0,0.93,0.52
D9,1,63,121,0.3,0.19,0.84,0.64,0.16,0.93,0.25
D5,3,83,106,0.63,0.68,0.65,0.14,0.71,0.31,0.26
D7,16,44,80,0.42,0.71,0.57,0.63,0.65,0.84,0.2
D10,3,26,35,0.06,0.99,0.71,0.4,0.87,0.44,0.26
D1,10,43,48,0.49,0.54,0.43,0.46,0.09,0.65,0.24
D10,21,102,129,0.81,0.27,0.09,0.8,0.28,0.33,0.16
D5,3,28,65,0.1,0.68,0.96,0.33,0.13,0.52,0.25
D12,0,59,122,0.07,0.98,0.43,0.15,0.93,0.29,0.17
D10,6,43,77,0.15,0.18,0.67,0.87,0.43,0.06,0.22
D2,17,192,54,0.76,0.33,0.53,0.21,0.91,0.14,0.73
D12,8,182,103,0.72,0.54,0.05,0.29,0.29,0.29,0.33
D6,2,61,74,0.57,0.17,0.95,0.71,0.13,0.98,0.32
D11,7,219,63,0.47,0.02,0.79,0.68,0.3,0.97,0.77
D1,23,48,35,0.89,0.34,0.15,0.8,0.6,0.83,0.27
D3,18,136,86,0.77,0.87,0.98,0.18,0.85,0.23,0.46
D5,3,72,47,0.81,0.04,0.74,0.35,0.39,0.44,0.41
D4,17,216,93,0.81,0.43,0.47,0.13,0.91,0.44,0.5
D3,19,167,108,0.64,0.76,0.61,0.54,0.24,0.39,0.39
D10,10,20,97,0.46,0.95,0.11,0.29,0.69,0.04,0.06
D5,13,63,76,0.86,0.99,0.56,0.69,0.74,0.53,0.25
D11,17,164,72,0.93,0.42,0.07,0.0,0.27,0.07,0.42
D8,15,110,89,0.02,0.95,0.54,0.06,0.03,0.8,0.32
D11,2,109,81,0.05,0.04,0.55,0.43,0.37,0.69,0.34
D4,14,27,109,0.96,0.75,0.87,0.96,0.05,0.35,0.2
D1,3,60,32,0.28,0.64,0.73,0.89,0.9,0.65,0.46
D11,4,115,98,0.87,0.25,0.25,0.99,0.95,0.23,0.26
D7,16,103,43,0.39,0.51,0.89,0.42,0.74,0.27,0.59
D8,6,115,55,0.12,0.13,0.57,0.05,0.73,0.31,0.48
D3,15,89,87,0.08,0.87,0.61,0.31,0.24,0.8,0.3
D6,13,119,69,0.16,0.36,0.17,0.68,0.07,0.21,0.34
D2,15,70,34,0.25,0.63,0.86,0.14,0.8,0.56,0.52
D7,6,96,61,0.49,0.16,0.93,0.3,0.56,0.2,0.45
D8,8,209,50,0.7,0.21,0.77,0.06,0.68,0.29,0.89
D6,3,96,83,0.99,0.99,0.94,0.47,0.78,0.24,0.38
D6,21,30,82,0.44,0.75,0.3,0.21,0.41,0.65,0.12
D5,10,27,54,0.52,0.96,0.86,0.09,0.14,0.53,0.25
D8,1,59,61,0.52,0.3,0.49,0.41,0.8,0.72,0.26
D1,11,107,57,0.54,0.16,0.16,0.35,0.45,0.22,0.37
D10,11,97,32,0.52,0.5,0.67,0.54,0.83,0.01,0.66
D4,3,119,120,0.01,0.49,0.68,0.75,0.44,0.68,0.3
D4,17,213,96,0.0,0.17,0.29,0.11,0.22,0.11,0.45
D3,20,98,91,0.1,0.73,0.03,0.79,0.17,0.25,0.2
D3,6,46,74,0.1,0.36,0.2,0.03,0.74,0.31,0.15
D4,0,111,54,0.7,0.19,0.4,0.44,0.57,0.75,0.44
D11,22,80,73,0.2,0.33,0.17,0.59,0.4,0.63,0.23
D1,12,116,75,0.89,0.56,0.19,0.96,0.49,0.18,0.31
D11,5,33,37,0.93,0.73,0.39,0.57,0.55,0.6,0.23
D11,5,67,43,0.98,0.48,0.96,0.16,0.24,0.71,0.45
D2,11,84,109,0.94,0.53,0.76,0.52,0.38,0.39,0.28
D9,7,211,56,0.27,0.14,0.32,0.4,0.29,0.25,0.73
D10,23,98,117,0.51,0.91,0.95,0.48,0.39,0.68,0.32
D2,21,68,84,0.18,0.93,0.65,0.2,0.5,0.61,0.26
D5,18,142,58,0.81,0.68,0.46,0.5,0.17,0.08,0.52
D9,4,75,85,0.89,0.02,0.47,0.15,0.39,0.67,0.24
D9,17,144,106,0.85,0.54,0.41,0.74,0.39,0.49,0.32
D8,4,77,64,0.43,0.63,0.23,0.59,0.29,0.75,0.26
D1,9,217,82,0.76,0.99,0.39,0.08,1.0,0.19,0.55
D1,0,35,37,0.1,1.0,0.53,0.89,0.07,0.26,0.26
D9,9,222,72,0.04,0.86,0.53,0.62,0.64,0.54,0.65
D11,4,64,124,0.75,0.06,0.76,0.32,0.17,0.48,0.23
D8,11,59,83,0.43,0.95,0.36,0.05,0.84,0.39,0.19
D10,21,33,88,1.0,0.61,0.72,0.63,0.91,0.75,0.2
D9,6,113,82,0.1,0.8,0.58,0.37,0.4,0.56,0.35
D7,8,232,76,0.86,0.41,0.96,0.91,0.82,0.71,0.72
D3,21,66,109,0.48,0.32,0.39,0.03,0.25,0.15,0.18
D3,20,25,84,0.83,0.46,0.9,0.04,0.14,0.73,0.22
D2,11,116,73,0.82,0.15,0.82,0.95,0.32,0.46,0.43
D5,22,37,45,0.92,0.36,0.64,0.96,0.34,0.03,0.26
D12,0,31,49,0.3,0.86,0.65,0.03,0.4,0.23,0.23
D12,10,64,93,0.95,0.04,0.08,0.72,0.37,0.03,0.14
D3,20,78,122,0.15,0.15,0.95,0.22,0.41,0.46,0.29
D6,14,113,119,0.08,0.13,0.11,0.7,0.71,0.33,0.19
D2,1,41,126,0.43,0.4,0.56,0.87,0.25,0.99,0.16
D12,19,246,88,0.83,1.0,0.33,0.1,0.02,0.87,0.56
D3,6,66,58,0.47,0.17,0.43,0.24,0.49,0.83,0.28
D5,20,105,74,0.83,0.15,0.61,0.02,0.45,0.5,0.37
D12,11,96,38,0.73,0.92,0.91,0.04,0.06,0.81,0.61
D11,21,43,44,0.21,0.88,0.46,0.03,0.13,0.27,0.26
D11,17,165,62,0.95,0.03,0.99,0.8,0.51,0.56,0.66
D1,2,110,73,0.06,0.75,0.59,0.3,0.23,0.39,0.38
D1,6,90,101,0.9,0.66,0.16,0.49,0.88,0.17,0.19
D10,10,97,105,0.3,0.77,0.19,0.79,0.17,0.07,0.2
D9,17,165,101,0.5,0.49,0.72,0.49,0.02,0.56,0.43
D7,11,80,110,0.42,0.99,0.05,0.43,0.45,0.1,0.14
D1,5,59,122,0.17,0.04,0.48,0.01,0.99,0.72,0.17
D12,4,46,30,0.36,0.23,0.15,0.57,0.63,0.92,0.3
D8,0,53,97,0.19,0.4,0.43,0.12,0.35,0.16,0.18
D3,11,107,50,0.2,0.45,0.75,0.76,0.02,0.47,0.52
D8,10,52,36,0.19,0.92,0.46,0.26,0.48,0.74,0.34
D5,3,84,32,0.49,0.56,0.16,0.67,0.21,0.29,0.49
D1,17,237,100,0.8,0.05,0.25,0.65,0.65,0.92,0.47
D7,3,98,124,0.57,0.41,0.37,0.62,0.58,0.89,0.21
D5,16,73,109,0.89,0.42,0.07,0.27,0.27,0.1,0.13
D6,1,93,122,0.64,0.97,0.58,0.27,0.07,0.03,0.24
D6,23,78,35,0.69,0.6,0.61,0.86,0.76,0.98,0.51
D8,21,48,46,0.67,0.64,0.06,0.01,0.59,0.96,0.2
D9,1,79,51,0.45,0.71,0.4,0.18,0.84,0.42,0.35
D2,11,43,110,0.69,0.77,0.41,0.61,0.26,0.05,0.15
D9,5,104,80,0.07,0.64,0.33,0.82,0.65,0.62,0.29
D12,9,179,60,0.86,0.24,0.56,0.36,0.12,0.29,0.64
D11,22,75,100,0.78,0.87,0.35,0.65,0.29,0.94,0.2
